pnu,jiga
1114013900100670001,1656000
1114013900100680001,1656000
1114013900100690001,3957000
1114013900100710001,1656000
1114013900100720001,1656000
1114013900100790001,3738000
1114014200100010001,3930000
1114014300100500001,3830000
1114014300100510001,3741000
1114014300100610001,10400000
1114014300100630001,5186000
1114014300100680001,5342000
1114014300100700001,5397000
1114014300100730001,5342000
1114014300100890001,4910000
1114014300100930001,4708000
1114014300100960001,4959000
1114014300101050001,5342000
1114014300101060001,5342000
1114014300101070001,5040000
1114014300101120001,5337000
1114014300101150001,9672000
1114014300101160001,6395000
1114014300101170001,3432000
1114014300101200001,10400000
1114014400100090001,2131000
1114014400100120001,1574000
1114014400100200001,4770000
1114014400100210001,4770000
1114014400100220001,4770000
1114014400100240001,6143000
1114014400100250001,2201000
1114014400100260001,5870000
1114014400100270001,3930000
1114014400100310001,4913000
1114014400100330001,3420000
1114014400100380001,4770000
1114014400100390001,1574000
1114014400100400001,3146000
1114014400100410001,1574000
1114014400100420001,2201000
1114014400101870001,3092000
1114014400101910001,4670000
1114014400101960001,1060000
1114014400101970001,1060000
1114014400101980001,2764000
1114014400102000001,6670000
1114014400102010001,3800000
1114014400102080001,3700000
1114014400102110001,1956000
1114014400200060001,1060000
1114014400200070001,2333000
1114016200102950001,5090000
1114016200102960001,5618000
1114016200103080001,5467000
1114016200103100001,4332000
1114016200103110001,6810000
1114016200103210001,6810000
1114016200103220001,3909000
1114016200103330001,3947000
1114016200103340001,3591000
1114016200103380001,5300000
1114016200103400001,4262000
1114016200103430001,4720000
1114016200103440001,3050000
1114016200103460001,4006000
1114016200103480001,7411000
1114016200103530001,7240000
1114016200103570001,3088000
1114016200103630001,4545000
1114016200103660001,8092000
1114016200103670001,9052000
1114016200103680001,10440000
1114016200103700001,5958000
1114016200103730001,1138000
1114016200103770001,1362000
1114016200103780001,4425000
1114016200103790001,1811000
1114016200103850001,4057000
1114016200104010001,4130000
1114016200104020001,5640000
1114016200104030001,1574000
1114016200104040001,5008000
1114016200104050001,3974000
1114016200104070001,4330000
1114016200104100001,5358000
1114016200104110001,4583000
1114016200104120001,3845000
1114016200104130001,4006000
1114016200104140001,4006000
1114016200104150001,4057000
1114016200104160001,2547000
1114016200104180001,4661000
1114016200104190001,4411000
1114016200104200001,4411000
1114016200104210001,8261000
1114016200104220001,8851000
1114016200104230001,4840000
1114016200104240001,4790000
1114016200104250001,4739000
1114016200104260001,2547000
1114016200104280001,4508000
1114016200104290001,6890000
1114016200104300001,3088000
1114016200104320001,5145000
1114016200108000001,2946000
1114016200108210001,4600000
1114016200108220001,2678000
1114016200108230001,2648000
1114016200108240001,2180000
1114016200108250001,3319000
1114016200108260001,3224000
1114016200108270001,2802000
1114016200108280001,2860000
1114016200108290001,2717000
1114016200108300001,2717000
1114016200108310001,2717000
1114016200108420001,1818000
1114016200108440001,5399000
1117010200200010001,352000
1117013000100010001,8034000
1117013000100020001,7352000
1117013000100040001,1947000
1117013000100050001,9435000
1117013000100060001,5829000
1117013000100600001,8547000
1117013000100640001,8547000
1117013000100670001,29900000
1117013000101010001,9823000
1117013000101020001,10400000
1117013000101040001,9331000
1117013000101050001,10710000
1117013000101060001,9514000
1117013000101080001,9620000
1117013000101110001,10710000
1117013000101120001,12930000
1117013000101160001,11970000
1117013000101200001,4841000
1117013000101220001,5200000
1117013000101230001,13300000
1117013000101240001,24430000
1117013000101260001,9308000
1117013000101270001,29480000
1117013000101280001,27440000
1117013000101360001,8157000
1117013000101460001,11950000
1117013000101490001,7520000
1117013000101510001,5316000
1117013000101520001,1884000
1117013000101540001,5367000
1117013000101590001,5207000
1117013000101660001,4970000
1117013000101680001,12240000
1117013000101690001,26600000
1117013000101710001,5019000
1117013000101830001,16510000
1117013000101910001,5538000
1117013000101930001,5316000
1117013000101950001,4658000
1117013000101970001,4298000
1117013000101980001,5035000
1117013000101990001,3900000
1117013000102000001,5210000
1117013000102010001,5053000
1117013000102050001,5366000
1117013000102060001,4549000
1117013000102070001,5053000
1117013000102080001,4219000
1117013000102100001,10870000
1117013000102110001,12670000
1117013000102120001,1838000
1117013000102130001,4694000
1117013000102140001,3955000
1117013000102150001,5756000
1117013000102210001,4399000
1117013000102220001,4078000
1117013000102230001,4532000
1117013000102260001,12950000
1117013000102270001,5367000
1117013000102280001,5226000
1117013000102310001,4843000
1117013000102320001,4009000
1117013000102330001,6019000
1117013000102340001,6080000
1117013000102390001,8441000
1117013000102430001,1656000
1117013000102450001,3781000
1117013000102460001,3820000
1117013000102470001,4617000
1117013000102500001,6028000
1117013000102510001,6264000
1117013000102520001,5623000
1117013000102550001,5478000
1117013000102560001,1944000
1117013000102570001,5682000
1117013000102580001,7724000
1117013000102590001,999900
1117013000102600001,999900
1117013000102610001,457800
1117013000102620001,1917000
1117013000200010001,360500
1117013100100640001,9956000
1117013100106570001,6595000
1117013100106580001,4408000
1117013100106690001,4408000
1117013100106700001,6593000
1117013100106710001,4408000
1117013100106720001,4408000
1117013100106740001,6593000
1117013100106760001,4408000
1117013100106770001,4408000
1117013100106790001,4408000
1117013100106800001,6593000
1117013100106820001,19610000
1117013100106830001,11780000
1117013100106840001,9812000
1117013100106850001,7940000
1117013100106860001,6556000
1117013100106870001,6593000
1117013100106880001,4957000
1117013100106890001,4957000
1117013100106910001,4812000
1117013100106930001,4812000
1117013100106970001,5306000
1117013100107000001,4408000
1117013100107010001,4408000
1117013100107030001,12080000
1117013100107040001,2240000
1117013100107050001,2157000
1117013100107120001,4906000
1117013100107130001,4661000
1117013100107180001,3630000
1117013100107200001,6593000
1117013100107210001,3630000
1117013100107220001,5466000
1117013100107230001,7310000
1117013100107240001,7310000
1117013100107250001,1881000
1117013100107260001,6815000
1117013100107270001,5523000
1117013100107280001,15550000
1117013100107290001,5161000
1117013100107320001,6198000
1117013100107330001,10180000
1117013100107360001,22500000
1117013100107370001,23250000
1117013100107380001,11420000
1117013100107390001,26080000
1117013100107400001,14220000
1117013100107410001,11020000
1117013100107420001,9250000
1117013100107430001,9253000
1114013300100850002,8928000
1114013300100860002,8928000
1114013600100110002,5226000
1114013600100210002,1488000
1114013600100230002,4410000
1114013600100250002,4738000
1114013600100260002,5818000
1114013800100140002,14490000
1114013800100170002,8300000
1114013800100180002,4990000
1114013800100190002,2739000
1114013800100200002,8813000
1114013800100210002,2313000
1114013800100240002,4722000
1114013800100270002,4770000
1114013800100280002,8820000
1114013800100290002,8813000
1114013800100320002,5342000
1114013800100340002,4949000
1114013800100350002,5700000
1114013800100360002,12140000
1114013800100480002,7080000
1114013800100580002,5700000
1114013800100590002,7080000
1114013800100600002,1881000
1114013800100610002,7080000
1114013800100640002,6239000
1114013800100650002,6095000
1114013800100680002,2052000
1114013800100700002,7143000
1114013800100710002,2788000
1114013800100740002,2788000
1114013800100770002,3036000
1114013800100780002,9281000
1114013800100810002,2154000
1114013800100850002,2154000
1114013800100860002,2154000
1114013800100900002,5850000
1114013800100920002,7281000
1114013800100950002,7281000
1114013800100960002,2583000
1114013800100970002,7281000
1114013800100980002,7571000
1114013800101000002,7571000
1114013800101010002,2154000
1114013800101030002,1674000
1114013800101040002,2154000
1114013800101060002,7630000
1114013800101070002,5028000
1114013800101090002,5243000
1114013800101110002,1782000
1114013800101130002,1782000
1114013800101200002,1782000
1114013800101210002,1788000
1114013800101220002,6840000
1114013800101240002,4830000
1114013800101280002,1296000
1114013800101310002,3738000
1114013800101320002,3626000
1114013800101330002,1197000
1114013800101340002,3630000
1114013900100010002,2788000
1114013900100020002,2052000
1114013900100030002,5906000
1114013900100100002,5650000
1114013900100150002,2290000
1114013900100160002,6940000
1114013900100170002,9231000
1114013900100180002,3108000
1114013900100200002,1646000
1114013900100230002,2808000
1114013900100240002,1386000
1114013900100260002,1386000
1114013900100270002,4200000
1114013900100280002,4200000
1114013900100290002,8431000
1114013900100300002,8541000
1114013900100310002,2788000
1114013900100320002,7328000
1114013900100330002,2583000
1114013900100380002,4539000
1114013900100390002,5100000
1114013900100410002,7281000
1114013900100420002,1138000
1114013900100470002,4057000
1114013900100490002,3390000
1114013900100500002,3390000
1114013900100510002,3390000
1114013900100520002,3390000
1114013900100550002,6940000
1114013900100580002,2349000
1114013900100620002,1366000
1114013900100630002,1656000
1114013900100660002,1656000
1114013900100680002,1656000
1114013900100690002,1656000
1114013900100710002,1656000
1114013900100720002,1656000
1114013900100760002,1197000
1114013900100780002,4919000
1114013900100790002,1197000
1114014200100010002,3812000
1114014200200010002,322100
1114014300100490002,1313000
1114014300100500002,3827000
1114014300100540002,1313000
1114014300100590002,8924000
1114014300100600002,2653000
1114014300100630002,5186000
1114014300100790002,5727000
1114014300100890002,3798000
1114014300101120002,4853000
1114014400100100002,6460000
1114014400100110002,6460000
1114014400100260002,5870000
1114014400100270002,3930000
1114014400100390002,1574000
1114014400100400002,4817000
1114014400100420002,6536000
1114014400100430002,5489000
1114014400100460002,1039000
1114014400100500002,3385000
1114014400101740002,5520000
1114014400101870002,1956000
1114014400101910002,7070000
1114014400101960002,1818000
1114014400101970002,1060000
1114014400101990002,1815000
1114014400102010002,3800000
1114014400102080002,3700000
1114014400200050002,1060000
1114014400200060002,1060000
1114016200102870002,3155000
1114016200102940002,1978000
1114016200102950002,2874000
1114016200102960002,9627000
1114016200103080002,4208000
1114016200103090002,2946000
1114016200103100002,2946000
1114016200103110002,4332000
1114016200103220002,3909000
1114016200103300002,5080000
1114016200103340002,3141000
1114016200103360002,2946000
1114016200103370002,3754000
1114016200103440002,3050000
1114016200103450002,4303000
1114016200103500002,2154000
1114016200103550002,2544000
1114016200103570002,8704000
1114016200103600002,8704000
1114016200103660002,6778000
1114016200103670002,2791000
1114016200103680002,10200000
1114016200103690002,3860000
1114016200103700002,3432000
1114016200103730002,3348000
1114016200103760002,4380000
1114016200103770002,4130000
1114016200103830002,2547000
1114016200103850002,1366000
1114016200103870002,5064000
1114016200103950002,5301000
1114016200104000002,3938000
1114016200104010002,4047000
1114016200104020002,1574000
1114016200104030002,6314000
1114016200104040002,4130000
1114016200104050002,4855000
1114016200104060002,4200000
1114016200104070002,4095000
1114016200104110002,4365000
1114016200104120002,3923000
1114016200104130002,3845000
1114016200104140002,3978000
1114016200104150002,4057000
1114016200104180002,4570000
1114016200104190002,4790000
1114016200104200002,4695000
1114016200104230002,4695000
1114016200104240002,4990000
1114016200104280002,2289000
1114016200104290002,3600000
1114016200104300002,5040000
1114016200104320002,4900000
1114016200107980002,1006000
1114016200108220002,2678000
1114016200108230002,2698000
1114016200108240002,2459000
1114016200108250002,2600000
1114016200108260002,2900000
1114016200108270002,3265000
1114016200108280002,2802000
1114016200108290002,2717000
1114016200108300002,2717000
1114016200108440002,1818000
1117013000100040002,5888000
1117013000100050002,8718000
1117013000101020002,9640000
1117013000101040002,10400000
1117013000101050002,10400000
1117013000101060002,9331000
1117013000101080002,9331000
1117013000101120002,13200000
1117013000101160002,11760000
1117013000101180002,6752000
1117013000101190002,6752000
1117013000101200002,4841000
1117013000101230002,12060000
1117013000101240002,9035000
1117013000101260002,25760000
1117013000101270002,28000000
1117013000101280002,27440000
1117013000101350002,3333000
1117013000101480002,1884000
1117013000101500002,1716000
1117013000101640002,4965000
1117013000101650002,4841000
1117013000101680002,4970000
1117013000101710002,4789000
1117013000101720002,18270000
1117013000101760002,25900000
1117013000101770002,8547000
1117013000101840002,16510000
1117013000101930002,4221000
1117013000101950002,5299000
1117013000101970002,4476000
1117013000101980002,4213000
1117013000102000002,1719000
1117013000102020002,4598000
1117013000102030002,1719000
1117013000102040002,1716000
1117013000102050002,5366000
1117013000102070002,6323000
1117013000102090002,4840000
1117013000102110002,4094000
1117013000102120002,1648000
1117013000102160002,1445000
1117013000102170002,4785000
1117013000102180002,5300000
1117013000102210002,5035000
1117013000102220002,4386000
1117013000102230002,4034000
1117013000102250002,5241000
1117013000102260002,3758000
1117013000102280002,5226000
1117013000102310002,3811000
1117013000102320002,3970000
1117013000102330002,2006000
1117013000102340002,6019000
1117013000102410002,8441000
1117013000102430002,4427000
